firstname,lastname,email,attribute_2,attribute_3,major,semester,language[a1],language[a2],iOSDev,appStoreLink,iOSDevExplained,introAssessment[INTRO],introAssessmentTutor[INTRO],devices[iPad],devices[iPhone],devices[Watch],devices[Mac],devices[iPadAR],devices[iPhoneAR],expinterWEBFE[expinter][1],expinterWEBFE[expinter][2],justifyWEBFE,expinterSSDEV[expinter][1],expinterSSDEV[expinter][2],justifySSDEV,expinterUIUX[expinter][1],expinterUIUX[expinter][2],justifyUIUX,expinterEMBED[expinter][1],expinterEMBED[expinter][2],justifyEMBED,expinterVRAR[expinter][1],expinterVRAR[expinter][2],justifyVRAR,expinterMLALG[expinter][1],expinterMLALG[expinter][2],justifyMLALG,otherSkills,Priorities[1],Priorities[2],Priorities[3],Priorities[4],Priorities[5],Priorities[6],Priorities[7],Priorities[8],Priorities[9],Priorities[10],Comments,supervisorRating,CommentsTutor,IsPinned,teamName
Lancelot,Bernardy,lbernardy0@si.edu,xx12xxx,male,BSc Informatics,5,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,strongly above average,No,Yes,No,Yes,No,No,advanced skills,high interest,"I've been developing web pages and -apps for quite a while. Technologies: Twig templating system (part of Symfony); jQuery Framework; HTML5, CSS3 / Twitter Bootstrap Framework.",advanced skills,high interest,Symfony PHP framework for REST API realization. Project: School management web application (svplus.de),advanced skills,average interest,I created UI/UX designs for several projects (either own projects or for other projects) with Photoshop and Illustrator. I own a small Wacom drawing Tablet.,no skills,average interest,,no skills,high interest,,no skills,high interest,,I have medium video editing skills with Adobe Premiere (don't know if this is a good contribution ????) and am a hobby photographer.,QUART,SIEM,BSH,CAPG,IHAUS,CMU,ZIMT,MRI,ZMED,BR,,Expert,"Strongly motivated, implemented all bonus challenges and, moreover, brought his own improvements. E.g. his vine tracker has a simple persistence saving session between runs and city app had an entire new view for choosing a location with a map, very convenient. I would love to have such guy in my team :)",FALSE,
Suki,Yole,syole1@linkedin.com,xx12xxx,male,BSc Informatics,5,Native,B1/B2,I have been an active developer for a native Apple application.,,"I have experience working with Xcode and Swift and I developed a couple of apps for personal use through the last few years. My focus was on native iOS apps (UIKit, partly CoreData (e.g. a balance app, store data), CoreAnimation) and I also put a lot of effort into UI design (prototyping with Adobe XD, icon creation, animation design). ",medium challenging,#N/A,No,No,No,Yes,Yes,Yes,no skills,high interest,,no skills,high interest,,advanced skills,high interest,"I've been working with Photoshop, Illustrator, After Effects, Adobe XD (a tool for prototyping) and if needed, I also have advanced photographing and video recording / cutting skills.",no skills,average interest,,no skills,average interest,,no skills,high interest,,With regard to the final presentations you might want to ask about acting skills. My acting skills are really bad. But I love to create keynote presentations!,ZMED,QUART,CAPG,MRI,CMU,IHAUS,SIEM,BR,BSH,ZIMT,,Expert,#N/A,FALSE,
Phaedra,Conre,pconre2@yolasite.com,xx12xxx,male,BSc Informatics,5,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,hardly challenging,above average,No,No,No,No,No,No,beginner skills,high interest,,no skills,average interest,,no skills,high interest,,beginner skills,average interest,,no skills,average interest,,no skills,extremely interested,,"I work in Data Science since 1 1/2 years, so all about sql, python, Scala, Databases, Graphs, aws, (rest)api and functional programming could be my territory. Although
I don't know if we need that.",CAPG,ZMED,CMU,SIEM,QUART,BSH,IHAUS,BR,MRI,ZIMT,,Expert,"Never had big problems, solved nearly every Task without a need of rework",FALSE,
Ariel,Sellwood,asellwood3@wisc.edu,xx12xxx,female,MSc Information Systems,3,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,above average,Yes,No,No,Yes,No,Yes,advanced skills,high interest,"Technologies and frameworks: HTML5, CSS3, jQuery, Angular, Protractor, react.js, Bootstrap, Material Design, SASS, ..

Projects: Bosch, OSRAM, LEDVANCE websites, SEBA Master",average skills,average interest,,average skills,average interest,,no skills,average interest,,no skills,average interest,,no skills,average interest,,"Experience with Java software development and software testing (unit and e2e testing)
Experience with Confluence and JIRA 
Experience with SCRUM, requirements engineering and project management",IHAUS,SIEM,MRI,ZMED,CMU,CAPG,QUART,BSH,ZIMT,BR,,Expert,- was really motivated and made all og her PRs as the first. - needed few guidance and mainly finished the exercises after one iteration - she understood the concepts of Swift and correctly made use of them,FALSE,
Quintilla,Leven,qleven4@joomla.org,xx12xxx,male,"MSc Informatics, Biomedical Computing, Data Engineering",3,Native,C1/C2,I have no experience in Apple platform development other than the intro course.,,,medium challenging,strongly above average,No,No,No,Yes,No,Yes,advanced skills,average interest,"Student Job: Frontend of Teamscale with CQSE using the Google Closure Tools and LESS
IDP:  https://www.studysmarter.de using Angular 5 and SCSS
Other projects with React, JSF and JSP
",advanced skills,high interest,"StudentJob: Backend of Teamscale at CQSE using Java on a Jetty server for a REST backend
JSF and JSP backend for university projects
NodeJS backend for React",beginner skills,high interest,,beginner skills,high interest,,no skills,high interest,,no skills,extremely interested,,,ZIMT,SIEM,ZMED,IHAUS,MRI,CMU,CAPG,BSH,BR,QUART,,Expert,"Never had any problems, sometimes he did just the absolutely necessary things, sometimes he spent more time and delivered nicer results",FALSE,
Thorny,Prosh,tprosh5@yelp.com,xx12xxx,male,BSc Informatics,5,Native,C1/C2,I have been an active developer for a native Apple application.,,"As part of last years HackaTUM I created an app about climate change. The app will probably be released in the App Store in late 2018 or early 2019. My App includes social network elements, which are enabled by a self written server. I worked on the iOS version of the app since March 2018.",not challenging at all,above average,No,No,Yes,Yes,No,Yes,expert skills,high interest,"I work as a webdesigner since 7 years. I even started my own business and developed a feature-complete CMS from scratch. Here's my website, where you can find examples of my work: https://cdslash.de",advanced skills,average interest,"I've written a ton of PHP-servers. This includes my self-created CMS (https://cdslash.de/cms-info), my app and about 5 others. I'm working with server command line tools since I was 13 years old.",expert skills,high interest,This again comes from webdesign. I'm extremely capable in Photoshop and I recently got into SVG creation. See https://cdslash.de/webdesign,advanced skills,average interest,"Actually I would say that I've got ""average skills"" here, but there's something cool I wanted to tell you: I've created a whole bunch of HomeKit compatible devices using an ESP-01 Arduino.",beginner skills,not interested at all,,no skills,not interested at all,,,MRI,ZMED,BR,SIEM,CAPG,CMU,BSH,IHAUS,QUART,ZIMT,,Expert,Most of the tasks only needed a small amount of rework. Knows what he is doing and the concepts were understood,FALSE,
Elton,Cowan,ecowan6@youtu.be,xx12xxx,male,"MSc Informatics, Biomedical Computing, Data Engineering",3,B1/B2,C1/C2,I have been an active developer for a native Apple application.,,"I have developed an application for HKUST Info day 2015, an application that gives information about the events held for the info day. Handling the image uploaded to the server and display them. Also there is another application written in Ionic 2, that manages venue booking, placement of orders and transactions.",hardly challenging,above average,No,No,Yes,Yes,Yes,Yes,advanced skills,extremely interested," My person website in React: https://travistang.github.io/about/,
 MVGDashboard (needs to cooperate with some docker containers to work): https://github.com/travistang/MVGDashboard
",advanced skills,high interest,"YoutubeDownloaderBackend: express, Docker, mongodb, kue: https://github.com/travistang/YoutubeDownloader-Backend
MVGDashboard's backend: https://github.com/travistang/MVGDashboard",beginner skills,not interested at all,,advanced skills,high interest,"4-digit display displaying ping with raspberry pi: https://gist.github.com/travistang/521096652a953b311adfd1e4efc7bcd3
Quadcopter w/ arduino: https://github.com/travistang/quadcopter
",no skills,high interest,,average skills,high interest,,"Web scraping and crawling, scripting, automation, image processing",SIEM,CAPG,CMU,ZIMT,IHAUS,QUART,ZMED,BSH,MRI,BR,,Expert,was quite motivated,FALSE,
Antonino,Cashmore,acashmore7@msn.com,xx12xxx,male,BSc Informatics,5,Native,B1/B2,I have been an active developer for a native Apple application.,,"I participated in the development of a Cross-platform business App using Xamarin.Forms. 
The usage of an SQLite database (though it seems quite different in C# than in Swift) and barcode scanning (ZXing) was included. ",hardly challenging,above average,No,Yes,Yes,Yes,No,No,no skills,high interest,,no skills,high interest,,beginner skills,average interest,,no skills,hardly interested,,no skills,extremely interested,,no skills,high interest,,,CAPG,IHAUS,CMU,SIEM,QUART,BR,MRI,BSH,ZMED,ZIMT,,Expert,- was really motivated and finished as the first student - had few errors and often needed just a few minor advises - Implement in a clean way,FALSE,
Karim,Lusted,klusted8@globo.com,xx12xxx,male,"MSc Informatics, Biomedical Computing, Data Engineering",2,A1/A2,C1/C2,I have submitted my own native Apple application(s) to the AppStore.,https://itunes.apple.com/us/app/oblivious-the-next-to-do-list/id966310768?mt=8,"Most of my iOS development experience was building apps using Objective-C. That was the only language available when I started and I used it extensively in a student job during the past year. The frameworks I used include UIKit, StoreKit, CoreData, SafariServices, UserNotifications, and LocalAuthentication (alongside other third-party frameworks/libraries).",hardly challenging,strongly above average,No,No,No,Yes,No,No,beginner skills,not interested at all,,average skills,high interest,,beginner skills,not interested at all,,beginner skills,not interested at all,,no skills,average interest,,no skills,average interest,,I am confident with software design using different patterns as this was part of my bachelor's thesis.,SIEM,CMU,ZMED,QUART,IHAUS,BR,MRI,ZIMT,BSH,CAPG,,Expert,had previous iOS and programming experience; motivated to write best possible code (see discussion about compile time on Slack),FALSE,
Kaile,Theyer,ktheyer9@mozilla.com,xx12xxx,male,BSc Information Systems,5,Native,C1/C2,I have been an active developer for a native Apple application.,,"I'm working in a small company next to studying. We develop iOS Apps, but mostly in React-Native. I developed on little Application in native Swift, but I didn't used anything, which was not part of the Intro Course.
But I know for example, how to include a framework or how to debug with Xcode and in general I have about 1,5 years experience in app development.",medium challenging,strongly above average,No,No,No,Yes,Yes,Yes,average skills,high interest,,no skills,average interest,,no skills,not interested at all,,no skills,hardly interested,,no skills,high interest,,no skills,high interest,,,SIEM,BR,ZMED,MRI,ZIMT,CAPG,QUART,IHAUS,CMU,BSH,,Expert,"had some previous iOS experience, seemed quite motivated, worked quite thoroughly though needed some pushing when it came to using some of the more Swift-y concepts",FALSE,
